Season,Winner,Played,Won,Drawn,Lost,Goals F,Goals A,GD,Points,PPG,Manager,Captain
1992-93,Manchester United,42,24,12,6,67,31,36,84,2,Alex Ferguson,Bryan Robson
1993-94,Manchester United,42,27,11,4,80,38,42,92,2.19,Alex Ferguson,Steve Bruce
1994-95,Blackburn Rovers,42,27,8,7,80,39,41,89,2.12,Kenny Dalglish,Tim Sherwood
1995-96,Manchester United,38,25,7,6,73,35,38,82,2.16,Alex Ferguson,Steve Bruce
1996-97,Manchester United,38,21,12,5,76,44,32,75,1.97,Alex Ferguson,Eric Cantona
1997-98,Arsenal,38,23,9,6,68,33,35,78,2.05,Arsène Wenger,Tony Adams
1998-99,Manchester United,38,22,13,3,80,37,43,79,2.08,Alex Ferguson,Roy Keane
1999-00,Manchester United,38,28,7,3,97,45,52,91,2.39,Alex Ferguson,Roy Keane
2000-01,Manchester United,38,24,8,6,79,41,38,80,2.11,Alex Ferguson,Roy Keane
2001-02,Arsenal,38,26,9,3,79,36,43,87,2.29,Arsène Wenger,Tony Adams
2002-03,Manchester United,38,25,8,5,74,34,40,83,2.18,Alex Ferguson,Roy Keane
2003-04,Arsenal,38,26,12,0,73,26,47,90,2.37,Arsène Wenger,Patrick Vieira
2004-05,Chelsea,38,29,8,1,72,15,57,95,2.5,José Mourinho,John Terry
2005-06,Chelsea,38,29,4,5,72,22,50,91,2.39,José Mourinho,John Terry
2006-07,Manchester United,38,28,5,5,83,27,56,89,2.34,Alex Ferguson,Gary Neville
2007-08,Manchester United,38,27,6,5,80,22,58,87,2.29,Alex Ferguson,Ryan Giggs
2008-09,Manchester United,38,28,6,4,68,24,44,90,2.37,Alex Ferguson,Gary Neville
2009-10,Chelsea,38,27,5,6,103,32,71,86,2.26,Carlo Ancelotti,John Terry
2010-11,Manchester United,38,23,11,4,78,37,41,80,2.11,Alex Ferguson,Nemanja Vidić
2011-12,Manchester City,38,28,5,5,93,29,64,89,2.34,Roberto Mancini,Vincent Kompany
2012-13,Manchester United,38,28,5,5,86,43,43,89,2.34,Alex Ferguson,Nemanja Vidić
2013-14,Manchester City,38,27,5,6,102,37,65,86,2.26,Manuel Pellegrini,Vincent Kompany
2014-15,Chelsea,38,26,9,3,73,42,31,87,2.29,José Mourinho,John Terry
2015-16,Leicester City,38,23,12,3,68,36,32,81,2.13,Claudio Ranieri,Wes Morgan
2016-17,Chelsea,38,30,3,5,85,33,52,93,2.45,Antonio Conte,John Terry
2017-18,Manchester City,38,32,4,2,106,27,79,100,2.63,Pep Guardiola,Vincent Kompany
2018-19,Manchester City,38,32,2,4,95,23,72,98,2.58,Pep Guardiola,Vincent Kompany
2019-20,Liverpool,38,32,3,3,85,33,52,99,2.61,Jürgen Klopp,Jordan Henderson
2020-21,Manchester City,38,27,5,6,83,32,51,86,2.26,Pep Guardiola,Fernandinho
2021-22,Manchester City,38,29,6,3,99,26,73,93,2.45,Pep Guardiola,Fernandinho
2022-23,Manchester City,38,28,5,5,94,33,61,89,2.34,Pep Guardiola,İlkay Gündoğan
2023-24,Manchester City,38,28,7,3,96,34,62,91,2.39,Pep Guardiola,Kyle Walker
,,,,,,,,,,,,
